Description,Value,Timing,Start,End,RL_PVR,LL_PVR,RA_DET1,RA_BLD1,RA_OCS1,LA_DET1,LA_BLD1,LA_OCS1,RL_DET1,RL_BLD1,RL_OCS1,RL_DET2,RL_BLD2,RL_OCS2,LL_DET1,LL_BLD1,LL_OCS1,LL_DET2,LL_BLD2,LL_OCS2,TRADET,TRAOCC,TLADET,TLAOCC,TRLDET,TRLOCC,TLLDET,TLLOCC,
,,STDL_Arm_Process,0,0,76.62833,71.16732,55.29749,0,192.9971,52.48053,65.24892,192.9971,42.32869,64.65073,179.5974,,,,42.69289,65.39582,179.385,43.13814,63.92988,228.9657,0,0,0,0,0,0.943092,0,0,
,,STDL_PVR,3567,3967,76.16215,68.90958,55.2854,0,192.9955,52.46857,64.58588,192.9955,42.319,63.89706,179.5887,,,,42.66667,64.93438,179.3754,43.13312,63.25545,228.9539,0,0,0,0,0,0.9445781,0,0,
,,STDL_AnkleWait,3967,4451,75.77582,66.75282,55.31684,0,192.9943,52.47306,64.13302,192.9943,42.29199,63.25165,179.5799,,,,42.68024,64.51171,179.3656,43.15022,62.59969,228.9427,0,0,0,0,0,0.9460641,0,0,
,,STDL_AnkleCommon,4451,7750,74.72371,64.976,55.28242,0,192.9929,52.4626,63.55594,192.9929,42.31528,62.61314,179.571,,,,42.67504,63.8473,179.3558,43.12401,62.16167,228.9314,0,0,0,0,0,0.9373335,0,0,
,,STDL_P1_Inflate,8759,9986,75.0938,64.07301,55.30103,0,192.9909,52.45008,63.21161,192.9909,42.31509,61.93395,179.5622,,,,42.66667,63.33113,179.3458,43.15617,61.57227,228.9204,0,0,0,0,0,0.9297174,0,0,
,,STDL_P1_DeflateWait,9986,10139,76.35794,63.5999,55.28038,0,192.9879,52.47081,62.75352,192.9879,42.30391,61.27958,179.5534,,,,42.68303,62.79671,179.3358,43.14111,61.23121,228.9096,0,0,0,0,0,0.9371477,0,0,
,,STDL_P1_Deflate,10342,14291,76.29719,62.0901,55.2841,0,192.9839,52.48053,62.51369,192.9839,42.30689,60.62223,179.5446,,,,42.68452,62.22505,179.326,43.13963,60.55505,228.8989,0,0,0,0,0,0.9447638,0,0,
,,STDL_P1_OccVent,14303,14428,75.39087,60.70467,55.27963,0,192.9782,52.46204,61.94628,192.9782,42.31285,59.95859,179.5359,,,,42.69363,61.6843,179.3159,43.13312,60.01951,228.8885,0,0,0,0,0,0.9304605,0,0,
,,STDL_P1_Process,14631,14632,74.31071,60.16463,55.27349,0,192.9708,52.47903,61.3045,192.9708,42.31081,59.52013,179.5272,,,,42.68173,60.91536,179.306,43.13535,59.50192,228.8782,0,0,0,0,0,0.9371477,0,0,
,,STDL_P2_InitialInf,14634,16109,73.32705,59.62687,55.24838,0,192.9622,52.47623,60.60149,192.9622,42.31211,58.93365,179.5186,,,,42.68675,60.28823,179.2958,43.14056,58.9255,228.868,0,0,0,0,0,0.9440208,0,0,
,,STDL_P2_Inflate,17118,18884,72.96844,58.39013,55.2707,0,192.953,52.46334,59.96409,192.953,42.31583,58.37079,179.5098,,,,42.66537,59.64263,179.2859,43.1307,58.38231,228.8579,0,0,0,0,0,0.9306462,0,0,
,,STDL_P2_DeflateWait,18884,19037,71.97417,57.12063,55.26382,0,192.9433,52.4697,59.30336,192.9433,42.29274,57.62152,179.5011,,,,42.67485,59.18208,179.2758,43.13312,57.61658,228.8479,0,0,0,0,0,0.9482932,0,0,
